"Label","M152, 2D-AR trawl sel","M146, pre-STAR base"
"CA_TWL_ARDEV_y1981_Lbin32",0.240699,NA
"CA_TWL_ARDEV_y1981_Lbin33",0.286997,NA
"CA_TWL_ARDEV_y1981_Lbin34",-0.00873453,NA
"CA_TWL_ARDEV_y1981_Lbin35",0.00736728,NA
"CA_TWL_ARDEV_y1981_Lbin36",0.0758023,NA
"CA_TWL_ARDEV_y1981_Lbin37",0.0922081,NA
"CA_TWL_ARDEV_y1981_Lbin38",-0.0711277,NA
"CA_TWL_ARDEV_y1982_Lbin10",-0.000613153,NA
"CA_TWL_ARDEV_y1982_Lbin11",-0.000777345,NA
"CA_TWL_ARDEV_y1982_Lbin12",-0.00137865,NA
"CA_TWL_ARDEV_y1982_Lbin13",-0.00317864,NA
"CA_TWL_ARDEV_y1982_Lbin14",-0.0070376,NA
"CA_TWL_ARDEV_y1982_Lbin15",-0.0135493,NA
"CA_TWL_ARDEV_y1982_Lbin16",-0.0162506,NA
"CA_TWL_ARDEV_y1982_Lbin17",-0.0276229,NA
"CA_TWL_ARDEV_y1982_Lbin18",-0.0644915,NA
"CA_TWL_ARDEV_y1982_Lbin19",-0.100442,NA
"CA_TWL_ARDEV_y1982_Lbin20",-0.11972,NA
"CA_TWL_ARDEV_y1982_Lbin21",-0.161286,NA
"CA_TWL_ARDEV_y1982_Lbin22",-0.175158,NA
"CA_TWL_ARDEV_y1982_Lbin23",-0.226645,NA
"CA_TWL_ARDEV_y1982_Lbin24",-0.175745,NA
"CA_TWL_ARDEV_y1982_Lbin25",-0.227176,NA
"CA_TWL_ARDEV_y1982_Lbin26",-0.117824,NA
"CA_TWL_ARDEV_y1982_Lbin27",-0.14522,NA
"CA_TWL_ARDEV_y1982_Lbin28",-0.205412,NA
"CA_TWL_ARDEV_y1982_Lbin29",-0.269805,NA
"CA_TWL_ARDEV_y1982_Lbin30",-0.179074,NA
"CA_TWL_ARDEV_y1982_Lbin31",-0.137282,NA
"CA_TWL_ARDEV_y1982_Lbin32",-0.12607,NA
"CA_TWL_ARDEV_y1982_Lbin33",-0.0948652,NA
"CA_TWL_ARDEV_y1982_Lbin34",0.147409,NA
"CA_TWL_ARDEV_y1982_Lbin35",0.163104,NA
"CA_TWL_ARDEV_y1982_Lbin36",0.461675,NA
"CA_TWL_ARDEV_y1982_Lbin37",0.451321,NA
"CA_TWL_ARDEV_y1982_Lbin38",0.607606,NA
"CA_TWL_ARDEV_y1983_Lbin10",-0.000549918,NA
"CA_TWL_ARDEV_y1983_Lbin11",-0.000627979,NA
"CA_TWL_ARDEV_y1983_Lbin12",-0.000948265,NA
"CA_TWL_ARDEV_y1983_Lbin13",-0.0020388,NA
"CA_TWL_ARDEV_y1983_Lbin14",-0.00453025,NA
"CA_TWL_ARDEV_y1983_Lbin15",-0.00895558,NA
"CA_TWL_ARDEV_y1983_Lbin16",-0.0164332,NA
"CA_TWL_ARDEV_y1983_Lbin17",-0.0306261,NA
"CA_TWL_ARDEV_y1983_Lbin18",-0.0566245,NA
"CA_TWL_ARDEV_y1983_Lbin19",-0.102383,NA
"CA_TWL_ARDEV_y1983_Lbin20",-0.163769,NA
"CA_TWL_ARDEV_y1983_Lbin21",-0.251331,NA
"CA_TWL_ARDEV_y1983_Lbin22",-0.248653,NA
"CA_TWL_ARDEV_y1983_Lbin23",-0.338148,NA
"CA_TWL_ARDEV_y1983_Lbin24",-0.281544,NA
"CA_TWL_ARDEV_y1983_Lbin25",-0.341855,NA
"CA_TWL_ARDEV_y1983_Lbin26",-0.377819,NA
"CA_TWL_ARDEV_y1983_Lbin27",-0.400994,NA
"CA_TWL_ARDEV_y1983_Lbin28",-0.359825,NA
"CA_TWL_ARDEV_y1983_Lbin29",-0.356934,NA
"CA_TWL_ARDEV_y1983_Lbin30",-0.409959,NA
"CA_TWL_ARDEV_y1983_Lbin31",-0.390771,NA
"CA_TWL_ARDEV_y1983_Lbin32",-0.25825,NA
"CA_TWL_ARDEV_y1983_Lbin33",-0.248155,NA
"CA_TWL_ARDEV_y1983_Lbin34",0.27056,NA
"CA_TWL_ARDEV_y1983_Lbin35",0.31009,NA
"CA_TWL_ARDEV_y1983_Lbin36",0.587912,NA
"CA_TWL_ARDEV_y1983_Lbin37",0.539809,NA
"CA_TWL_ARDEV_y1983_Lbin38",0.575583,NA
"CA_TWL_ARDEV_y1984_Lbin10",-0.0011383,NA
"CA_TWL_ARDEV_y1984_Lbin11",-0.00110913,NA
"CA_TWL_ARDEV_y1984_Lbin12",-0.00113806,NA
"CA_TWL_ARDEV_y1984_Lbin13",-0.00186537,NA
"CA_TWL_ARDEV_y1984_Lbin14",-0.00384187,NA
"CA_TWL_ARDEV_y1984_Lbin15",-0.00720823,NA
"CA_TWL_ARDEV_y1984_Lbin16",-0.0121663,NA
"CA_TWL_ARDEV_y1984_Lbin17",-0.0217346,NA
"CA_TWL_ARDEV_y1984_Lbin18",-0.0407483,NA
"CA_TWL_ARDEV_y1984_Lbin19",-0.0784212,NA
"CA_TWL_ARDEV_y1984_Lbin20",-0.090503,NA
"CA_TWL_ARDEV_y1984_Lbin21",-0.159639,NA
"CA_TWL_ARDEV_y1984_Lbin22",-0.0491364,NA
"CA_TWL_ARDEV_y1984_Lbin23",-0.0938074,NA
"CA_TWL_ARDEV_y1984_Lbin24",-0.225321,NA
"CA_TWL_ARDEV_y1984_Lbin25",-0.308548,NA
"CA_TWL_ARDEV_y1984_Lbin26",-0.0237438,NA
"CA_TWL_ARDEV_y1984_Lbin27",-0.0308128,NA
"CA_TWL_ARDEV_y1984_Lbin28",0.0169524,NA
"CA_TWL_ARDEV_y1984_Lbin29",0.0794276,NA
"CA_TWL_ARDEV_y1984_Lbin30",0.482234,NA
"CA_TWL_ARDEV_y1984_Lbin31",0.697214,NA
"CA_TWL_ARDEV_y1984_Lbin32",-0.0437605,NA
"CA_TWL_ARDEV_y1984_Lbin33",-0.0202853,NA
"CA_TWL_ARDEV_y1984_Lbin34",0.208089,NA
"CA_TWL_ARDEV_y1984_Lbin35",0.264584,NA
"CA_TWL_ARDEV_y1984_Lbin36",0.065734,NA
"CA_TWL_ARDEV_y1984_Lbin37",0.0454814,NA
"CA_TWL_ARDEV_y1984_Lbin38",0.0216766,NA
"CA_TWL_ARDEV_y1985_Lbin10",-0.0239607,NA
"CA_TWL_ARDEV_y1985_Lbin11",-0.0206681,NA
"CA_TWL_ARDEV_y1985_Lbin12",-0.0126883,NA
"CA_TWL_ARDEV_y1985_Lbin13",-0.00769323,NA
"CA_TWL_ARDEV_y1985_Lbin14",-0.00848798,NA
"CA_TWL_ARDEV_y1985_Lbin15",-0.0131694,NA
"CA_TWL_ARDEV_y1985_Lbin16",0.00333289,NA
"CA_TWL_ARDEV_y1985_Lbin17",0.00292437,NA
"CA_TWL_ARDEV_y1985_Lbin18",-0.033239,NA
"CA_TWL_ARDEV_y1985_Lbin19",-0.0584959,NA
"CA_TWL_ARDEV_y1985_Lbin20",-0.0722001,NA
"CA_TWL_ARDEV_y1985_Lbin21",-0.132992,NA
"CA_TWL_ARDEV_y1985_Lbin22",-0.0181937,NA
"CA_TWL_ARDEV_y1985_Lbin23",-0.0379633,NA
"CA_TWL_ARDEV_y1985_Lbin24",0.0869005,NA
"CA_TWL_ARDEV_y1985_Lbin25",0.116838,NA
"CA_TWL_ARDEV_y1985_Lbin26",0.116729,NA
"CA_TWL_ARDEV_y1985_Lbin27",0.0678044,NA
"CA_TWL_ARDEV_y1985_Lbin28",0.273805,NA
"CA_TWL_ARDEV_y1985_Lbin29",0.0417454,NA
"CA_TWL_ARDEV_y1985_Lbin30",0.12403,NA
"CA_TWL_ARDEV_y1985_Lbin31",0.072186,NA
"CA_TWL_ARDEV_y1985_Lbin32",0.293753,NA
"CA_TWL_ARDEV_y1985_Lbin33",0.294767,NA
"CA_TWL_ARDEV_y1985_Lbin34",0.0136097,NA
"CA_TWL_ARDEV_y1985_Lbin35",-0.0909722,NA
"CA_TWL_ARDEV_y1985_Lbin36",-0.0957521,NA
"CA_TWL_ARDEV_y1985_Lbin37",-0.095498,NA
"CA_TWL_ARDEV_y1985_Lbin38",0.0682649,NA
"CA_TWL_ARDEV_y1986_Lbin10",-0.0021576,NA
"CA_TWL_ARDEV_y1986_Lbin11",-0.00553658,NA
"CA_TWL_ARDEV_y1986_Lbin12",-0.0147649,NA
"CA_TWL_ARDEV_y1986_Lbin13",-0.0371378,NA
"CA_TWL_ARDEV_y1986_Lbin14",-0.0800127,NA
"CA_TWL_ARDEV_y1986_Lbin15",-0.125322,NA
"CA_TWL_ARDEV_y1986_Lbin16",-0.143133,NA
"CA_TWL_ARDEV_y1986_Lbin17",-0.14918,NA
"CA_TWL_ARDEV_y1986_Lbin18",-0.0987713,NA
"CA_TWL_ARDEV_y1986_Lbin19",-0.0823208,NA
"CA_TWL_ARDEV_y1986_Lbin20",-0.00688824,NA
