"Label","M=0.1","M=0.125","M=0.15","M=0.175","M=0.179","M=0.2","M=0.225","M=0.25"
"Size_DblN_descend_se_SoCA_HKL(2)",5.5108,5.59072,5.68412,5.79422,5.81227,5.92532,6.08062,6.27809
"Size_DblN_peak_CA_TWL(3)",43.9394,44.172,44.4261,44.7237,44.7699,45.0452,45.3907,45.7365
"Size_DblN_ascend_se_CA_TWL(3)",4.51476,4.50803,4.5036,4.5033,4.50337,4.50437,4.50727,4.50886
"Size_DblN_descend_se_CA_TWL(3)",3.0213,3.01625,3.0124,2.99175,2.98778,2.95897,2.90864,2.87599
"Size_DblN_peak_OR_WA_Comm(4)",39.5822,40.2749,41.0997,42.0981,42.2614,43.3766,45.4908,54.4089
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.29865,4.34806,4.41175,4.49224,4.50535,4.5979,4.78044,5.41609
"Size_DblN_peak_CA_NET(5)",45.8174,45.8273,45.8459,45.8715,45.8767,45.9021,45.9213,45.957
"Size_DblN_ascend_se_CA_NET(5)",4.33475,4.32472,4.31586,4.30738,4.30616,4.29874,4.28912,4.28203
"Size_DblN_descend_se_CA_NET(5)",3.55328,3.57414,3.60488,3.64295,3.6495,3.68706,3.72953,3.80017
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",42.6281,42.8918,43.1881,43.5274,43.5856,43.9266,44.3468,44.8311
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.11031,5.10168,5.09519,5.09097,5.09087,5.0901,5.08999,5.09549
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.11059,4.17935,4.259,4.34851,4.36153,4.44694,4.5773,4.82411
"Size_DblN_peak_SoCA_Rec(7)",24.2043,24.3645,24.5201,24.6523,24.6712,24.7784,24.8981,25.0111
"Size_DblN_ascend_se_SoCA_Rec(7)",2.81391,2.85212,2.88768,2.91491,2.91869,2.93959,2.96163,2.98112
"Size_DblN_descend_se_SoCA_Rec(7)",3.65681,3.55533,3.45062,3.35081,3.3356,3.24614,3.13789,3.02524
"Size_DblN_end_logit_SoCA_Rec(7)",-1.57549,-1.41709,-1.25738,-1.09556,-1.07118,-0.929809,-0.762473,-0.595295
"Size_DblN_peak_TWL_discard(8)",29.0813,29.2249,29.3838,29.5547,29.5827,29.7466,29.942,30.1363
"Size_DblN_ascend_se_TWL_discard(8)",4.15877,4.16608,4.1742,4.18255,4.18418,4.19309,4.20215,4.20941
"Size_DblN_descend_se_TWL_discard(8)",3.24646,3.23469,3.21869,3.2,3.19654,3.17573,3.15015,3.12351
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",49.9471,49.9954,50.0791,50.1882,50.2064,50.313,50.4376,50.611
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.03475,4.03718,4.04134,4.04607,4.04676,4.05023,4.05289,4.05974
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.1855,47.2512,47.3249,47.4083,47.4222,47.5015,47.597,47.7303
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.74835,4.73647,4.72578,4.71559,4.71407,4.70545,4.69605,4.69017
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.0242,33.2078,33.3899,33.6226,33.6688,33.9197,34.1958,34.4418
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.14185,3.17254,3.20114,3.24186,3.2508,3.29635,3.34191,3.37768
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.0843,30.22,30.3823,30.5851,30.6221,30.8542,31.1706,31.5122
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.68711,3.697,3.711,3.73139,3.73563,3.76266,3.80026,3.83996
"Bratio_2025",0.528931,0.614968,0.671459,0.702551,0.705341,0.714176,0.712452,0.712403
"SSB_unfished",13340.1,12168.1,11565.4,11514,11553.4,12056.7,13444.5,16096.1
"Totbio_unfished",47504.3,46679.5,47706,50994.6,51705.3,57283,68484.5,87933.1
"Recr_unfished",9500.85,13062.7,17796.2,24482.7,25703.1,34448.1,50473.7,77995.2
"Dead_Catch_SPR",1270.28,1495.56,1767.76,2132.36,2197.35,2654.45,3468.52,4816.89
"OFLCatch_2025",1387.61,1810.34,2282.9,2866.09,2966.49,3654.38,4843.22,6896.79
