M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.18,0.8,2634.61,4.89029e-11,0,30.3007,570.642,2010.12,23.4905,0,0,0.045008,0.0033609,0,0,5.86000000000013
0.19,0.8,2635.73,2.95526e-11,0,30.7015,571.758,2009.7,23.4264,0,0,0.146945,0.00339889,0,0,6.98000000000002
0.2,0.8,2637.42,1.79596e-11,0,31.255,573.148,2009.36,23.3789,0,0,0.271771,0.00344708,0,0,8.67000000000007
0.14,0.85,2637.44,3.36654e-10,0,31.2086,569.127,2012.83,24.2837,0,0,-0.0104996,0.0032569,0,0,8.69000000000005
0.15,0.85,2635.77,2.03801e-10,0,30.6971,569.127,2011.96,24.0424,0,0,-0.0554896,0.00327787,0,0,7.01999999999998
0.16,0.85,2634.87,1.24431e-10,0,30.4558,569.385,2011.22,23.8594,2.03763e-31,0,-0.0527366,0.00329989,0,0,6.11999999999989
0.165249,0.85,2634.68,9.58996e-11,0,30.4241,569.639,2010.86,23.7821,0,0,-0.0350992,0.00331276,0,0,5.92999999999984
0.17,0.85,2634.66,7.57126e-11,0,30.4461,569.937,2010.57,23.721,0,0,-0.010671,0.00332564,0,0,5.90999999999985
0.175467,0.85,2634.83,5.76153e-11,0,30.5274,570.357,2010.25,23.6593,0,0,0.0264884,0.00334135,0,0,6.07999999999993
0.18,0.85,2635.11,4.58998e-11,0,30.6372,570.769,2010.02,23.6142,0,0,0.064017,0.00335487,0,0,6.36000000000013
0.19,0.85,2636.16,2.78584e-11,0,31.0026,571.876,2009.58,23.5306,0,0,0.165954,0.00339203,0,0,7.40999999999985
0.2,0.85,2637.78,1.70611e-11,0,31.5215,573.253,2009.24,23.4638,0,0,0.29078,0.00343954,0,0,9.0300000000002
0.14,0.9,2638.26,3.15289e-10,0,31.6173,569.255,2012.8,24.4817,0,0,0.0954937,0.00325266,0,0,9.51000000000022
0.15,0.9,2636.53,1.91044e-10,0,31.0807,569.264,2011.9,24.2232,0,0,0.0505037,0.00327333,0,0,7.7800000000002
0.16,0.9,2635.55,1.16915e-10,0,30.809,569.517,2011.15,24.0197,0,0,0.0532567,0.00329531,0,0,6.80000000000018
0.165249,0.9,2635.32,9.01725e-11,0,30.7603,569.769,2010.78,23.9312,0,0,0.070894,0.00330771,0,0,6.57000000000016
0.17,0.9,2635.27,7.12651e-11,0,30.7668,570.063,2010.48,23.86,0,0,0.0953222,0.00332043,0,0,6.51999999999998
0.175467,0.9,2635.39,5.43167e-11,0,30.8302,570.479,2010.16,23.7868,0,0,0.132482,0.00333587,0,0,6.63999999999987
0.18,0.9,2635.64,4.33454e-11,0,30.9253,570.887,2009.92,23.7322,0,0,0.17001,0.00334931,0,0,6.88999999999987
0.19,0.9,2636.63,2.64365e-11,0,31.2594,571.984,2009.48,23.6285,0,0,0.271948,0.00338587,0,0,7.88000000000011
0.2,0.9,2638.18,1.63124e-11,0,31.7483,573.349,2009.14,23.5428,0,0,0.396773,0.0034328,0,0,9.42999999999984
0.14,0.95,2639.22,2.95719e-10,0,31.9795,569.389,2012.77,24.6859,0,0,0.39637,0.00324812,0,0,10.4699999999998
0.15,0.95,2637.42,1.79611e-10,0,31.4174,569.4,2011.85,24.4036,0,0,0.35138,0.00326879,0,0,8.67000000000007
0.16,0.95,2636.37,1.10281e-10,0,31.1167,569.645,2011.07,24.1759,0,0,0.354133,0.00329083,0,0,7.61999999999989
0.165249,0.95,2636.1,8.51616e-11,0,31.0525,569.893,2010.71,24.0751,1.89936e-31,0,0.37177,0.0033029,0,0,7.34999999999991
0.17,0.95,2636.02,6.74025e-11,0,31.0449,570.183,2010.4,23.9931,0,0,0.396198,0.00331546,0,0,7.26999999999998
0.175467,0.95,2636.11,5.14734e-11,0,31.0922,570.594,2010.08,23.9078,0,0,0.433358,0.0033308,0,0,7.36000000000013
0.18,0.95,2636.32,4.11537e-11,0,31.1742,570.997,2009.84,23.8436,0,0,0.470886,0.00334415,0,0,7.57000000000016
0.19,0.95,2637.25,2.52292e-11,0,31.4807,572.084,2009.38,23.72,0,0,0.572824,0.00338017,0,0,8.5
0.2,0.95,2638.74,1.56788e-11,0,31.9435,573.437,2009.04,23.6159,0,0,0.697649,0.00342666,0,0,9.98999999999978
