"Label","h=0.25","h=0.3","h=0.35","h=0.4","h=0.45","h=0.5","h=0.55","h=0.6","h=0.65","h=0.7","h=0.72","h=0.75","h=0.8","h=0.85","h=0.9","h=0.95"
"Size_DblN_descend_se_SoCA_Rec(7)",3.30538,3.31346,3.32043,3.32659,3.33204,3.33689,3.34116,3.34492,3.34821,3.35106,3.35209,3.35352,3.35561,3.35737,3.35882,3.36001
"Size_DblN_end_logit_SoCA_Rec(7)",-1.07195,-1.0831,-1.09259,-1.10094,-1.10834,-1.11489,-1.12065,-1.12569,-1.13006,-1.1338,-1.13513,-1.13696,-1.1396,-1.14176,-1.14351,-1.14489
"Size_DblN_peak_TWL_discard(8)",29.5799,29.5671,29.5556,29.5449,29.5353,29.5266,29.519,29.5125,29.5068,29.5022,29.5005,29.4983,29.4952,29.4928,29.491,29.4896
"Size_DblN_ascend_se_TWL_discard(8)",4.17613,4.17607,4.17581,4.17544,4.175,4.17454,4.17407,4.17361,4.17315,4.1727,4.17252,4.17226,4.17184,4.17144,4.17106,4.17071
"Size_DblN_descend_se_TWL_discard(8)",3.18977,3.19156,3.19332,3.19501,3.1966,3.19804,3.19933,3.20046,3.20143,3.20225,3.20254,3.20293,3.2035,3.20395,3.20432,3.2046
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.1344,50.1763,50.205,50.2263,50.2427,50.2559,50.2667,50.2756,50.283,50.2889,50.2911,50.2937,50.2974,50.2999,50.3015,50.3024
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.04148,4.04451,4.04661,4.04817,4.04938,4.05036,4.05115,4.05179,4.05232,4.05273,4.05288,4.05306,4.0533,4.05344,4.05352,4.05354
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4209,47.4972,47.5494,47.5824,47.6003,47.6073,47.6062,47.5989,47.5864,47.57,47.5625,47.5505,47.5291,47.507,47.4852,47.4638
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.72507,4.72981,4.73323,4.73543,4.73662,4.73709,4.73703,4.73657,4.73579,4.73476,4.73429,4.73354,4.73223,4.7309,4.72963,4.72842
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.4767,33.4912,33.4994,33.5036,33.5051,33.5047,33.503,33.5001,33.4964,33.4921,33.4903,33.4873,33.4822,33.4769,33.4716,33.4663
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.2059,3.21086,3.21387,3.21561,3.21644,3.21663,3.21632,3.21564,3.21464,3.21341,3.21287,3.21201,3.21045,3.20883,3.20717,3.20551
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.439,30.4326,30.4286,30.427,30.4274,30.4295,30.4332,30.4381,30.4439,30.4507,30.4536,30.458,30.4658,30.4739,30.4821,30.4902
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.70442,3.70527,3.70594,3.7066,3.70731,3.70809,3.70893,3.70982,3.71077,3.71176,3.71216,3.71276,3.71378,3.7148,3.71579,3.71677
"Bratio_2025",0.340178,0.379494,0.413197,0.443638,0.47167,0.49767,0.521878,0.544484,0.56564,0.585474,0.593058,0.604073,0.621503,0.637798,0.652989,0.667101
"SSB_unfished",19591.1,17807.1,16733.1,15997.2,15452.7,15029.3,14688.9,14408.5,14173.7,13974.7,13903.5,13804.8,13659.2,13534.1,13426.6,13334.2
"Totbio_unfished",89051,80076.1,74651.9,70943.3,68220.3,66129,64474.6,63139.1,62046.6,61145.8,60830.6,60400,59782.4,59271.2,58849.3,58502.5
"Recr_unfished",47094.6,40717.9,36867.4,34271.3,32412.8,31035.6,29995.3,29202.8,28599.6,28145.4,27998.4,27810.2,27571.7,27410.8,27312.2,27263.1
"Dead_Catch_SPR",1.51539e-13,1.04179e-12,472.753,1334.21,1782.39,2045,2212.44,2326.63,2409.21,2472.23,2493.66,2522.77,2565.15,2602.04,2635.12,2665.42
"OFLCatch_2025",2534.75,2508.18,2517.74,2545.44,2582.75,2625.26,2670.67,2717.76,2765.9,2814.72,2834.36,2863.88,2913.08,2961.92,3010.01,3056.96
