M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.21,0.432765,2600.55,1.21692e-11,0,22.6391,575.36,1975.51,25.3416,0,0,1.68491,0.00570051,0,0,4.28999999999996
0.22,0.432765,2603.18,8.53304e-12,0,23.0249,576.709,1975.78,25.8146,0,0,1.84541,0.00572594,0,0,6.91999999999962
0.13,0.45,2604.24,3.40449e-10,0,27.1566,573.627,1977.61,24.6245,0,0,1.21697,0.00575117,0,0,7.97999999999956
0.14,0.45,2600.92,2.06054e-10,0,25.7269,572.959,1976.94,24.1713,0,0,1.11347,0.00573144,0,0,4.65999999999985
0.15,0.45,2598.54,1.28778e-10,0,24.5787,572.556,1976.38,23.9497,0,0,1.06848,0.00571495,0,0,2.27999999999975
0.16,0.45,2597.03,8.2716e-11,0,23.698,572.423,1975.92,23.9142,0,0,1.07123,0.00570343,0,0,0.769999999999982
0.17,0.45,2596.34,5.45467e-11,0,23.0686,572.528,1975.6,24.0269,0,0,1.1133,0.00569508,0,0,0.0799999999999272
0.171052,0.45,2596.31,5.23185e-11,0,23.0163,572.547,1975.57,24.0458,0,0,1.11972,0.00569436,0,0,0.0499999999997272
0.174703,0.45,2596.27,4.53438e-11,0,22.8547,572.635,1975.51,24.121,0,0,1.14472,0.00569165,0,0,0.00999999999976353
0.18,0.45,2596.4,3.69341e-11,0,22.6744,572.829,1975.44,24.2548,0,0,1.18799,0.00568858,0,0,0.139999999999873
0.19,0.45,2597.16,2.52777e-11,0,22.5007,573.404,1975.39,24.5758,0,0,1.28992,0.00568739,0,0,0.899999999999636
0.2,0.45,2598.6,1.7417e-11,0,22.5336,574.243,1975.43,24.9677,0,0,1.41475,0.00569015,0,0,2.33999999999969
0.21,0.45,2600.66,1.20772e-11,0,22.7574,575.347,1975.58,25.4113,0,0,1.55889,0.00570078,0,0,4.39999999999964
0.22,0.45,2603.32,8.43354e-12,0,23.1577,576.712,1975.83,25.8889,0,0,1.71939,0.00572614,0,0,7.05999999999995
0.13,0.5,2603.78,3.5388e-10,0,27.3668,573.308,1978,24.1947,0,0,0.905894,0.00575236,0,0,7.51999999999998
