"Label","M143 time-var. k, matches index","M136, free annual k devs","M116 Pre-STAR base"
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.7685,45.8886,43.4907
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.1426,5.16852,5.08974
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.88773,4.68745,4.32053
"Size_DblN_peak_SoCA_Rec(7)",24.6285,24.341,24.6445
"Size_DblN_ascend_se_SoCA_Rec(7)",2.93737,2.85443,2.91266
"Size_DblN_descend_se_SoCA_Rec(7)",3.07306,3.24682,3.36501
"Size_DblN_end_logit_SoCA_Rec(7)",-0.796731,-1.02167,-1.10801
"Size_DblN_peak_TWL_discard(8)",30.0546,29.9682,29.5467
"Size_DblN_ascend_se_TWL_discard(8)",4.30486,4.30641,4.18199
"Size_DblN_descend_se_TWL_discard(8)",3.18445,3.19332,3.20012
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.1657,50.6472,50.2373
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.13579,4.06788,4.05049
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.7589,51.0974,47.4103
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.68899,4.85022,4.71708
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",35.5982,37.3477,33.5853
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.66268,3.91882,3.23437
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.3852,31.539,30.5808
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.88776,3.9201,3.73193
"VonBert_K_Fem_GP_1_dev_se",NA,0.5,NA
"VonBert_K_Fem_GP_1_dev_autocorr",NA,0,NA
"VonBert_K_Fem_GP_1_DEVmult_1978",NA,-0.905681,NA
"VonBert_K_Fem_GP_1_DEVmult_1979",NA,-0.175813,NA
"VonBert_K_Fem_GP_1_DEVmult_1980",NA,0.420938,NA
"VonBert_K_Fem_GP_1_DEVmult_1981",NA,-1.03312,NA
"VonBert_K_Fem_GP_1_DEVmult_1982",NA,-0.973769,NA
"VonBert_K_Fem_GP_1_DEVmult_1983",NA,-0.481773,NA
"VonBert_K_Fem_GP_1_DEVmult_1984",NA,-0.958143,NA
"VonBert_K_Fem_GP_1_DEVmult_1985",NA,0.458459,NA
"VonBert_K_Fem_GP_1_DEVmult_1986",NA,-0.336013,NA
"VonBert_K_Fem_GP_1_DEVmult_1987",NA,-0.0537971,NA
"VonBert_K_Fem_GP_1_DEVmult_1988",NA,-1.11488,NA
"VonBert_K_Fem_GP_1_DEVmult_1989",NA,-0.135681,NA
"VonBert_K_Fem_GP_1_DEVmult_1990",NA,-0.438877,NA
"VonBert_K_Fem_GP_1_DEVmult_1991",NA,-1.10463,NA
"VonBert_K_Fem_GP_1_DEVmult_1992",NA,-0.525192,NA
"VonBert_K_Fem_GP_1_DEVmult_1993",NA,-0.679643,NA
"VonBert_K_Fem_GP_1_DEVmult_1994",NA,0.0612733,NA
"VonBert_K_Fem_GP_1_DEVmult_1995",NA,-0.387568,NA
"VonBert_K_Fem_GP_1_DEVmult_1996",NA,-0.282461,NA
